106,"A Sweetly Fragrant Cigarette Is Lit",1448444070,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E10 - A Sweetly Fragrant Cigarette Is Lit WEBDL-1080p.mkv"
107,"The Determination of a Snow Flower",1456947501,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E11 - The Determination of a Snow Flower HDTV-1080p.mkv"
108,"The Most Beautiful Thing",1453802694,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E12 - The Most Beautiful Thing HDTV-1080p.mkv"
109,"Nice to Meet You",1439233097,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E01 - Nice to Meet You WEBDL-1080p.mkv"
110,"My First Boyfriend",733738379,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E02 - My First Boyfriend WEBDL-720p.mkv"
111,"Our First Christmas",1447513674,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E03 - Our First Christmas HDTV-1080p.mkv"
112,"Our First Shrine Visit",493660126,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E04 - Our First Shrine Visit HDTV-1080p.mkv"
113,"Our First Date",470019090,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E05 - Our First Date HDTV-1080p.mkv"
114,"Our First Valentine's",474143731,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E06 - Our First Valentine's HDTV-1080p.mkv"
115,"My First Confession",745274711,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E07 - My First Confession WEBDL-1080p.mkv"
116,"My First Pet",745760102,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E08 - My First Pet WEBDL-1080p.mkv"
117,"His First Birthday",1445519851,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E09 - His First Birthday HDTV-1080p.mkv"
118,"Our First Second Year",745236128,Japanese,"/data/Shows/A Condition Called Love/Season 1/A Condition Called Love - S01E10 - Our First Second Year WEBDL-1080p.mkv"
120,"Crunch Time With the Princess",215321773,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E01 - Crunch Time With the Princess HDTV-1080p.mkv"
121,"Shopping With the Princess",1465708560,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E02 - Shopping With the Princess HDTV-1080p.mkv"
122,"Drama Bomb With the Princess",1465833279,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E03 - Drama Bomb With the Princess HDTV-1080p.mkv"
123,"Weather Conditions With the Princess",1467822907,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E04 - Weather Conditions With the Princess HDTV-1080p.mkv"
124,"At the Zoo With the Princess",1467960984,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E05 - At the Zoo With the Princess HDTV-1080p.mkv"
125,"A Letter With the Princess",1466458346,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E06 - A Letter With the Princess HDTV-1080p.mkv"
126,"A Slight Fever With the Princess",1467212953,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E07 - A Slight Fever With the Princess HDTV-1080p.mkv"
127,"Christmas With the Princess",1465286828,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E08 - Christmas With the Princess HDTV-1080p.mkv"
128,"A Hot Spring With the Princess",1466560364,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E09 - A Hot Spring With the Princess HDTV-1080p.mkv"
130,"Stinger Removal With Kuga-kun",345687075,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E11 - Stinger Removal With Kuga-kun HDTV-1080p.mkv"
131,"Fireworks With the Princess",817383529,Japanese,"/data/Shows/A Galaxy Next Door/Season 1/A Galaxy Next Door - S01E12 - Fireworks With the Princess HDTV-1080p.mkv"
132,"Spring and Beginnings",1441103071,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/Spring and Beginnings | S01E01 | HDTV-1080p.mkv"
133,"Duty and Danger",1442737812,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/Duty and Danger | S01E04 | HDTV-1080p.mkv"
134,"Cheap Theatrics and Melodrama",1441434795,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/Cheap Theatrics and Melodrama | S01E08 | HDTV-1080p.mkv"
135,"Knives and Attacks",1444858394,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/Knives and Attacks | S01E09 | HDTV-1080p.mkv"
136,"Lingering Scents and Whispers",1439316324,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/A Girl & Her Guard Dog - S01E10 - Lingering Scents and Whispers WEBDL-1080p.mkv"
137,"Days Gone By and Days to Come",1432122047,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/A Girl & Her Guard Dog - S01E11 - Days Gone By and Days to Come WEBDL-1080p.mkv"
138,"Scum and Heart",1433186145,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/A Girl & Her Guard Dog - S01E12 - Scum and Heart WEBDL-1080p.mkv"
139,"Wounds and Lovers",388285023,Japanese,"/data/Shows/A Girl & Her Guard Dog/Season 1/A Girl & Her Guard Dog - S01E13 - Wounds and Lovers HDTV-720p.mkv"
140,"Please eat me up, great evil dragon!",417492790,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E01 - Please eat me up, great evil dragon! HDTV-720p.mkv"
141,"Let's set out on an expedition, great evil dragon!",417798139,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E02 - Let's set out on an expedition, great evil dragon! HDTV-720p.mkv"
142,"You will always be my great evil dragon",417276606,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E03 - You will always be my great evil dragon HDTV-720p.mkv"
143,"Let's continue our journey, great evil dragon",416584383,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E04 - Let's continue our journey, great evil dragon HDTV-720p.mkv"
144,"Famous teacher produces a good student",416250475,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E05 - Famous teacher produces a good student HDTV-720p.mkv"
145,"Let's subdue Selianen, great evil dragon!",417146629,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E06 - Let's subdue Selianen, great evil dragon! HDTV-720p.mkv"
146,"You must not waste food",417258978,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E07 - You must not waste food HDTV-720p.mkv"
147,"Search for the cute little dragon",416897709,Japanese,"/data/Shows/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized/Season 1/A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized - S01E08 - Search for the cute little dragon HDTV-720p.mkv"
